current_id,current_name,current_type,current_price,current_stock,current_categories,action,new_category,new_subcategory,new_handle,new_url,new_sku_suggested,watermark_status,tags_use_case,tags_problem,reason,notes,YOU_FILL_watermark_licence_number,YOU_FILL_watermark_certifier,YOU_FILL_watermark_valid_until,YOU_FILL_gtin_or_ean,YOU_FILL_supplier_name,YOU_FILL_decision_override,YOU_FILL_extra_notes,qf_no_description,qf_thin_description,qf_no_attributes,qf_low_images,qf_no_sku,qf_no_gtin,existing_watermark_signal,existing_wels_signal,current_image_count,current_description_length,current_sale_price,old_url_pattern
11685,Commercial Rust-Free Filtered Cold Water Bubbler WM,simple,1299.95,,Bubblers & Coolers,KEEP,bubblers,commercial,commercial-rust-free-filtered-cold-water-bubbler-wm,/bubblers/commercial/commercial-rust-free-filtered-cold-water-bubbler-wm/,EA-BUB-COMM-03,not_required,use:commercial-and-cafe,,Bubbler / cooler,,,,,,,,,,,,,YES,YES,,,3,4193,,/product/commercial-rust-free-filtered-cold-water-bubbler-wm/
11670,Commercial Stainless Steel Filtered Cold Water Bubbler - Round WM,simple,849.95,,Bubblers & Coolers,KEEP,bubblers,commercial,commercial-stainless-steel-filtered-cold-water-bubbler-round-wm,/bubblers/commercial/commercial-stainless-steel-filtered-cold-water-bubbler-round-wm/,EA-BUB-COMM-02,not_required,use:commercial-and-cafe,,Bubbler / cooler,,,,,,,,,,,,,YES,YES,,,3,5282,,/product/commercial-stainless-steel-filtered-cold-water-bubbler-round-wm/
11666,Commercial Water Bubbler -  Filtered - Stainless Steel - WaterMark Certified - Square Design,simple,999.95,,Bubblers & Coolers,KEEP,bubblers,commercial,commercial-water-bubbler-filtered-stainless-steel-watermark-certified-square-des,/bubblers/commercial/commercial-water-bubbler-filtered-stainless-steel-watermark-certified-square-des/,EA-BUB-COMM,certified,use:commercial-and-cafe,,Bubbler / cooler,WaterMark certificate number REQUIRED if certified,,,,,,,,,,,,YES,YES,YES,,3,7795,,/product/commercial-water-bubbler-filtered-stainless-steel-watermark-certified-square-des/
13369,STAINLESS STEEL UNDER COUNTER DRINKING WATER CHILLER+ Stainless Steel Tap,simple,599.95,,Bubblers & Coolers,KEEP,bubblers,commercial,stainless-steel-under-counter-drinking-water-chiller-plus-stainless-steel-tap,/bubblers/commercial/stainless-steel-under-counter-drinking-water-chiller-plus-stainless-steel-tap/,EA-BUB-CHILL,not_required,use:commercial-and-cafe,,Bubbler / cooler,,,,,,,,,,,YES,,YES,YES,,,3,802,,/product/stainless-steel-under-counter-drinking-water-chiller-plus-stainless-steel-tap/
12530,Bubbler Filter CTO+PP,simple,149.95,,"Bubblers & Coolers, Filter Cartridges",KEEP,bubblers,parts,bubbler-filter-cto-plus-pp,/bubblers/parts/bubbler-filter-cto-plus-pp/,EA-BUB-REV,not_required,,,Bubbler / cooler,,,,,,,,,,YES,YES,YES,YES,YES,,,1,160,,/product/bubbler-filter-cto-plus-pp/
3961,Drinking Fountain Tap For Bubbler / Cooler Chrome Tap / Faucet,simple,49.95,,Fittings & Parts,KEEP,bubblers,parts,drinking-fountain-tap-for-bubbler-cooler-chrome-tap-faucet,/bubblers/parts/drinking-fountain-tap-for-bubbler-cooler-chrome-tap-faucet/,EA-BUB-COOL,not_required,,,Bubbler / cooler,,,,,,,,,,,YES,YES,YES,YES,,,1,368,,/product/drinking-fountain-tap-for-bubbler-cooler-chrome-tap-faucet/
13303,Bench top Room temperature Hot & cold-water cooler Direct connect,simple,349.95,,Bubblers & Coolers,KEEP,bubblers,residential,bench-top-room-temperature-hot-and-cold-water-cooler-direct-connect,/bubblers/residential/bench-top-room-temperature-hot-and-cold-water-cooler-direct-connect/,EA-BUB-COOL-04,not_required,,,Bubbler / cooler,,,,,,,,,,,YES,YES,YES,YES,,,1,724,,/product/bench-top-room-temperature-hot-and-cold-water-cooler-direct-connect/
11679,"Direct connect water cooler dispenser 3Stages FILTER, Hot Cold & Room temperature",simple,499.95,,Bubblers & Coolers,KEEP,bubblers,residential,direct-connect-water-cooler-dispenser-3stages-filter-hot-cold-and-room-temperatu,/bubblers/residential/direct-connect-water-cooler-dispenser-3stages-filter-hot-cold-and-room-temperatu/,EA-BUB-COOL-03,not_required,,,Bubbler / cooler,,,,,,,,,,,,YES,YES,YES,,,2,508,,/product/direct-connect-water-cooler-dispenser-3stages-filter-hot-cold-and-room-temperatu/
11663,Filtered Hot & Cold Water Cooler – Direct Connect,simple,499.95,,Bubblers & Coolers,KEEP,bubblers,residential,filtered-hot-and-cold-water-cooler-direct-connect,/bubblers/residential/filtered-hot-and-cold-water-cooler-direct-connect/,EA-BUB-COOL-02,not_required,,,Bubbler / cooler,,,,,,,,,YES,,,YES,YES,YES,,,1,0,,/product/filtered-hot-and-cold-water-cooler-direct-connect/
3653,6 Stage Reverse Osmosis Water Filters Set WITH 75GPD RO Membrane & Alkaline Cart,simple,114.95,12.0,Fittings & Parts,KEEP,cartridges,alkaline,6-stage-reverse-osmosis-water-filters-set-with-75gpd-ro-membrane-and-alkaline-ca,/cartridges/alkaline/6-stage-reverse-osmosis-water-filters-set-with-75gpd-ro-membrane-and-alkaline-ca/,EA-CART-ROM,not_required,use:home-drinking-water,problem:hard-water-and-scale,Cartridge (alkaline),,,,,,,,,,,YES,YES,YES,YES,,,2,1223,,/product/6-stage-reverse-osmosis-water-filters-set-with-75gpd-ro-membrane-and-alkaline-ca/
3502,"5 x Premium quality CTO Carbon Cartridges 10"" x 2.5""",simple,79.95,9.0,Fittings & Parts,KEEP,cartridges,carbon,5-x-premium-quality-cto-carbon-cartridges-10-x-2-5,/cartridges/carbon/5-x-premium-quality-cto-carbon-cartridges-10-x-2-5/,EA-CART-CTO-10X25,not_required,use:home-drinking-water,problem:chlorine-and-taste,Cartridge (carbon),,,,,,,,,,YES,YES,YES,YES,YES,,,2,130,,/product/5-x-premium-quality-cto-carbon-cartridges-10-x-2-5/
5124,"Coconut Activated Carbon Water Filter | CTO | 5 Micron | 10"" x 2.5""",simple,16.95,,Filter Cartridges,KEEP,cartridges,carbon,coconut-activated-carbon-water-filter-cto-5-micron-10-x-2-5,/cartridges/carbon/coconut-activated-carbon-water-filter-cto-5-micron-10-x-2-5/,EA-CART-CTO-10X25-02,not_required,use:home-drinking-water,problem:chlorine-and-taste,Cartridge (carbon),,,,,,,,,,,,YES,YES,YES,,,1,477,,/product/coconut-activated-carbon-water-filter-cto-5-micron-10-x-2-5/
12117,"Coconut Activated Carbon Water Filter | CTO | 5 Micron | 10"" x 4.5""",simple,29.95,,Filter Cartridges,KEEP,cartridges,carbon,coconut-activated-carbon-water-filter-cto-5-micron-10-x-4-5,/cartridges/carbon/coconut-activated-carbon-water-filter-cto-5-micron-10-x-4-5/,EA-CART-CTO-10X45,not_required,use:home-drinking-water,problem:chlorine-and-taste,Cartridge (carbon),,,,,,,,,,,,YES,YES,YES,,,1,477,,/product/coconut-activated-carbon-water-filter-cto-5-micron-10-x-4-5/
11633,"Coconut Activated Carbon Water Filter | CTO | 5 Micron | 20"" x 2.5""",simple,29.95,,Filter Cartridges,KEEP,cartridges,carbon,coconut-activated-carbon-water-filter-cto-5-micron-20-x-2-5,/cartridges/carbon/coconut-activated-carbon-water-filter-cto-5-micron-20-x-2-5/,EA-CART-CTO-20X25,not_required,use:home-drinking-water,problem:chlorine-and-taste,Cartridge (carbon),,,,,,,,,,,,YES,YES,YES,,,1,477,,/product/coconut-activated-carbon-water-filter-cto-5-micron-20-x-2-5/
11631,"Coconut Activated Carbon Water Filter | CTO | 5 Micron | 20"" x 4.5""",simple,59.95,,Filter Cartridges,KEEP,cartridges,carbon,coconut-activated-carbon-water-filter-cto-5-micron-20-x-4-5,/cartridges/carbon/coconut-activated-carbon-water-filter-cto-5-micron-20-x-4-5/,EA-CART-CTO-20X45,not_required,use:home-drinking-water,problem:chlorine-and-taste,Cartridge (carbon),,,,,,,,,,,,YES,YES,YES,,,1,477,,/product/coconut-activated-carbon-water-filter-cto-5-micron-20-x-4-5/
5128,"Granular Activated Carbon Water Filter | GAC | 5 Micron | 10"" x 2.5""",simple,19.95,,Filter Cartridges,KEEP,cartridges,carbon,granular-activated-carbon-water-filter-gac-5-micron-10-x-2-5,/cartridges/carbon/granular-activated-carbon-water-filter-gac-5-micron-10-x-2-5/,EA-CART-CTO-10X25-03,not_required,use:home-drinking-water,problem:chlorine-and-taste,Cartridge (carbon),,,,,,,,,,,,YES,YES,YES,,,1,574,,/product/granular-activated-carbon-water-filter-gac-5-micron-10-x-2-5/
11636,"Granular Activated Carbon Water Filter | GAC | 5 Micron | 20"" x 2.5""",simple,29.95,,Filter Cartridges,KEEP,cartridges,carbon,granular-activated-carbon-water-filter-gac-5-micron-20-x-2-5,/cartridges/carbon/granular-activated-carbon-water-filter-gac-5-micron-20-x-2-5/,EA-CART-CTO-20X25-02,not_required,use:home-drinking-water,problem:chlorine-and-taste,Cartridge (carbon),,,,,,,,,,,,YES,YES,YES,,,1,574,,/product/granular-activated-carbon-water-filter-gac-5-micron-20-x-2-5/
12150,"Granular Activated Carbon Water Filter | GAC | 5 Micron | 20"" x 4.5""",simple,39.95,,Filter Cartridges,KEEP,cartridges,carbon,granular-activated-carbon-water-filter-gac-5-micron-20-x-4-5,/cartridges/carbon/granular-activated-carbon-water-filter-gac-5-micron-20-x-4-5/,EA-CART-CTO-20X45-02,not_required,use:home-drinking-water,problem:chlorine-and-taste,Cartridge (carbon),,,,,,,,,,,,YES,YES,YES,,,1,574,,/product/granular-activated-carbon-water-filter-gac-5-micron-20-x-4-5/
4099,6 stages RO Cartridges Replacement set For 6 Stages RO Water Filter System 5mic,simple,145.95,,Fittings & Parts,KEEP,cartridges,cartridge-sets,6-stages-ro-cartridges-replacement-set-for-6-stages-ro-water-filter-system-5mic,/cartridges/cartridge-sets/6-stages-ro-cartridges-replacement-set-for-6-stages-ro-water-filter-system-5mic/,EA-CART-REV-04,not_required,use:home-drinking-water,"problem:chlorine-and-taste,problem:sediment-and-rust",Cartridge (cartridge-sets),,,,,,,,,,,YES,YES,YES,YES,,,1,1038,,/product/6-stages-ro-cartridges-replacement-set-for-6-stages-ro-water-filter-system-5mic/
12184,"Inline Water Filter Replacement Set | 3 Stages | Sediment, Carbon, RO Membrane | 10""",simple,139.95,,Filter Cartridges,KEEP,cartridges,cartridge-sets,inline-water-filter-replacement-set-3-stages-sediment-carbon-ro-membrane-10,/cartridges/cartridge-sets/inline-water-filter-replacement-set-3-stages-sediment-carbon-ro-membrane-10/,EA-CART-SED,not_required,use:home-drinking-water,"problem:sediment-and-rust,problem:chlorine-and-taste",Inline replacement cartridge set,,,,,,,,,,,,YES,YES,YES,,,1,470,,/product/inline-water-filter-replacement-set-3-stages-sediment-carbon-ro-membrane-10/
12350,"Water Filter Replacement Set | Premium | 6 Stages | 5 Micron | 10""",simple,149.95,,Filter Cartridges,KEEP,cartridges,cartridge-sets,water-filter-replacement-set-premium-6-stages-5-micron-10,/cartridges/cartridge-sets/water-filter-replacement-set-premium-6-stages-5-micron-10/,EA-CART-REV-06,not_required,use:home-drinking-water,"problem:chlorine-and-taste,problem:sediment-and-rust",Cartridge (cartridge-sets),,,,,,,,,,,,YES,YES,YES,,,1,1455,,/product/water-filter-replacement-set-premium-6-stages-5-micron-10/
12346,"Water Filter Replacement Set | Standard | 6 Stages | 5 Micron | 10""",simple,114.95,,Filter Cartridges,KEEP,cartridges,cartridge-sets,water-filter-replacement-set-standard-6-stages-5-micron-10,/cartridges/cartridge-sets/water-filter-replacement-set-standard-6-stages-5-micron-10/,EA-CART-REV-05,not_required,use:home-drinking-water,"problem:chlorine-and-taste,problem:sediment-and-rust",Cartridge (cartridge-sets),,,,,,,,,,,,YES,YES,YES,,,1,1439,,/product/water-filter-replacement-set-standard-6-stages-5-micron-10/
3670,"Reusable 100 micron Strainer Water Filter Washable Filter Sediment 10""x2.5""",simple,19.95,10.0,Fittings & Parts,KEEP,cartridges,pleated-washable,reusable-100-micron-strainer-water-filter-washable-filter-sediment-10x2-5,/cartridges/pleated-washable/reusable-100-micron-strainer-water-filter-washable-filter-sediment-10x2-5/,EA-CART-SED-10X25,not_required,,problem:sediment-and-rust,Reusable strainer cartridge,,,,,,,,,,,YES,YES,YES,YES,,,2,833,,/product/reusable-100-micron-strainer-water-filter-washable-filter-sediment-10x2-5/
5116,"Washable and Reusable Water Filter | Pleated | 5 Micron | 10"" x 4.5""",simple,24.95,,Filter Cartridges,KEEP,cartridges,pleated-washable,washable-and-reusable-water-filter-pleated-5-micron-10-x-4-5,/cartridges/pleated-washable/washable-and-reusable-water-filter-pleated-5-micron-10-x-4-5/,EA-CART-PLT-10X45,not_required,use:home-drinking-water,problem:sediment-and-rust,Cartridge (pleated-washable),,,,,,,,,,,,YES,YES,YES,,,1,314,,/product/washable-and-reusable-water-filter-pleated-5-micron-10-x-4-5/
11628,"Washable and Reusable Water Filter | Pleated | 5 Micron | 20"" x 4.5""",simple,34.95,,Filter Cartridges,KEEP,cartridges,pleated-washable,washable-and-reusable-water-filter-pleated-5-micron-20-x-4-5,/cartridges/pleated-washable/washable-and-reusable-water-filter-pleated-5-micron-20-x-4-5/,EA-CART-PLT-20X45,not_required,use:home-drinking-water,problem:sediment-and-rust,Cartridge (pleated-washable),,,,,,,,,,,,YES,YES,YES,,,1,314,,/product/washable-and-reusable-water-filter-pleated-5-micron-20-x-4-5/
3419,Inline UF Ultrafiltration Filter Cartridge,simple,24.95,10.0,Fittings & Parts,KEEP,cartridges,post-carbon-t33,inline-uf-ultrafiltration-filter-cartridge,/cartridges/post-carbon-t33/inline-uf-ultrafiltration-filter-cartridge/,EA-CART-REV,not_required,use:home-drinking-water,,Inline cartridge,Verify sub-category: T33 vs alkaline vs fluoride,,,,,,,,,YES,YES,,YES,YES,,,3,79,,/product/inline-uf-ultrafiltration-filter-cartridge/
